"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.559501466E0,-2.901767492E-1,6.382255554E-1,5.680651665E-1
1.564560841E0,-3.189480305E-1,6.666517258E-1,5.561218262E-1
1.569619487E0,-3.379964828E-1,6.588258743E-1,5.294718742E-1
1.574629852E0,-3.667423725E-1,6.649708748E-1,5.668249130E-1
1.579752768E0,-4.362362623E-1,6.744122505E-1,5.601148605E-1
1.584742924E0,-3.901549578E-1,6.667003632E-1,5.573186874E-1
1.589701831E0,-3.290935755E-1,6.680479050E-1,6.224880219E-1
1.594665737E0,-2.789671421E-1,7.044119835E-1,6.363463402E-1
1.599620268E0,-2.298470736E-1,6.874613762E-1,5.920739174E-1
1.604578289E0,-1.954946518E-1,6.531996727E-1,5.851769447E-1
1.609537872E0,-1.921560764E-1,6.611356735E-1,5.940470695E-1
1.614496831E0,-2.267875671E-1,6.492929459E-1,5.640296936E-1
1.619455529E0,-2.563071251E-1,6.700463295E-1,5.120468140E-1
1.624415112E0,-2.880436182E-1,6.567316055E-1,5.570335388E-1
1.629396414E0,-3.075320721E-1,6.974868774E-1,5.724072456E-1
1.634335164E0,-2.815392017E-1,6.472129822E-1,5.704913139E-1
1.639314227E0,-2.316212654E-1,6.491317749E-1,5.776019096E-1
1.644347664E0,-2.486492395E-1,6.077136993E-1,5.221819878E-1
1.649406258E0,-2.684589624E-1,5.805301666E-1,4.357609749E-1
1.654465320E0,-2.273013592E-1,5.866756439E-1,4.825782776E-1
1.659521935E0,-1.849136353E-1,6.188573837E-1,4.456281662E-1
1.664580372E0,-1.531082392E-1,6.032295227E-1,3.849506378E-1
1.669664799E0,-1.769205332E-1,5.901074409E-1,4.123930931E-1
1.674698602E0,-2.039198875E-1,6.320104599E-1,4.111905098E-1
1.679754591E0,-2.244064808E-1,6.120038033E-1,3.482227325E-1
1.684834539E0,-2.621418238E-1,6.396512985E-1,3.140468597E-1
1.689891674E0,-2.408571243E-1,6.626043320E-1,3.325242996E-1
1.694949956E0,-2.271583080E-1,7.116022110E-1,2.938957214E-1
1.699988081E0,-2.187547684E-1,6.866536140E-1,2.056598663E-1
1.705043602E0,-2.038996220E-1,6.808362007E-1,1.914987564E-1
1.710126466E0,-2.089625597E-1,6.773214340E-1,1.723494530E-1
1.715186362E0,-2.340042591E-1,6.286306381E-1,1.363577843E-1
1.720245529E0,-1.646333933E-1,6.251602173E-1,1.333479881E-1
1.725276154E0,-1.723339558E-1,6.357069016E-1,1.583848000E-1
1.730334227E0,-9.487211704E-2,6.576251984E-1,1.137361526E-1
1.735393029E0,-6.609237194E-2,6.645832062E-1,6.864356995E-2
1.740450372E0,-4.502594471E-2,6.827087402E-1,5.861902237E-2
1.745511206E0,2.096557617E-2,6.573052406E-1,9.055662155E-2
1.750566518E0,5.388677120E-2,6.052551270E-1,7.390642166E-2
1.755627872E0,5.226552486E-2,5.528106689E-1,4.944562912E-2
1.760685216E0,3.335976601E-2,4.808883667E-1,5.754613876E-2
1.765741414E0,4.404544830E-3,3.992581367E-1,3.869104385E-2
1.770703133E0,-5.857729912E-2,3.415060043E-1,2.897214890E-2
1.775664591E0,-1.008943319E-1,2.740802765E-1,4.948043823E-2
1.780622404E0,-7.764899731E-2,2.185239792E-1,7.631683350E-2
1.785581414E0,-9.170937538E-2,2.199978828E-1,1.190528870E-1
1.790540060E0,-6.447339058E-2,2.448778152E-1,1.444058418E-1
1.795499591E0,-6.047737598E-2,2.312936783E-1,1.169466972E-1
1.800458393E0,-7.007694244E-2,2.744936943E-1,7.740306854E-2
1.805417560E0,-7.661807537E-2,2.792549133E-1,2.850866318E-2
1.810376466E0,-7.318508625E-2,2.909083366E-1,-3.932952881E-2
1.815333966E0,-5.722320080E-2,2.880663872E-1,-9.499216080E-2
1.820293393E0,1.158630848E-2,2.969923019E-1,-4.595470428E-2
1.825252560E0,7.819855213E-2,2.916183472E-1,-4.009532928E-2
1.830209956E0,9.781134129E-2,2.719540596E-1,-6.528615952E-2
1.835193497E0,1.613817215E-1,2.476186752E-1,2.836322784E-2
1.840128549E0,1.948963404E-1,2.380695343E-1,9.560108185E-2
1.845087612E0,1.966025829E-1,2.404232025E-1,7.444572449E-2
1.850046414E0,1.877609491E-1,1.928625107E-1,3.441190720E-2
1.855006414E0,1.397455931E-1,1.860618591E-1,6.113243103E-2
1.859985997E0,1.171007156E-1,1.697549820E-1,4.236650467E-2
1.864923862E0,1.812932491E-1,1.274480820E-1,-6.420087814E-2
1.869882247E0,2.159448862E-1,1.350421906E-1,-6.346893311E-2
